perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
"[['Lp-norm', 0.5, 2]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.25755692,0.87166,0.7351,0.1808,0.1308,0.113,0.1038
"[[['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,91.85392904,0.71824,0.6753,0.3868,0.2425,0.1961,0.1642
"[[['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.17302227,0.79056,0.6693,0.4159,0.2247,0.1721,0.1529
"[['Lp-norm', 0.25, 3]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,79.55909896,0.86466,0.7269,0.1842,0.1272,0.1123,0.0997
"[[['Lp-norm', 0.25, 3], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,92.88601947,0.70588,0.6839,0.3903,0.2555,0.1799,0.1514
"[[['Lp-norm', 0.25, 3], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,94.44591904,0.79238,0.6758,0.3898,0.2138,0.1648,0.1569
"[['Lp-norm', 0.5, 3]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.19240236,0.87122,0.7207,0.198,0.1403,0.1275,0.1169
"[[['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.02381206,0.71476,0.6724,0.3821,0.2489,0.1943,0.1565
"[[['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,94.32898474,0.79596,0.6753,0.3981,0.2194,0.1707,0.1512
"[['Lp-norm', 0.25, 4]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.64789081,0.87414,0.7281,0.1837,0.132,0.1142,0.0992
"[[['Lp-norm', 0.25, 4], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.02339673,0.71854,0.6741,0.3798,0.2251,0.1781,0.1594
"[[['Lp-norm', 0.25, 4], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,94.54394841,0.79354,0.6802,0.394,0.2078,0.1618,0.1447
"[['Lp-norm', 0.5, 4]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.13854003,0.86232,0.7218,0.2037,0.1403,0.1243,0.1121
"[[['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,92.21143317,0.70298,0.6758,0.4094,0.2638,0.1974,0.1609
"[[['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.92816281,0.78852,0.671,0.3838,0.2087,0.1585,0.1478
"[['Lp-norm', 0.25, inf]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.30462503,0.84372,0.7025,0.2772,0.1631,0.1454,0.1373
"[[['Lp-norm', 0.25, inf], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,91.7896471,0.69134,0.665,0.4234,0.2801,0.2038,0.173
"[[['Lp-norm', 0.25, inf], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.30440712,0.78514,0.672,0.4261,0.2255,0.1706,0.1421
"[['Lp-norm', 0.5, inf]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,77.25148582,0.79494,0.67,0.3739,0.2003,0.1527,0.1443
"[[['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,91.12366295,0.65832,0.6225,0.4696,0.3054,0.225,0.1812
"[[['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,94.49682903,0.76094,0.6574,0.4625,0.2714,0.2002,0.1771
