perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
[['Identity']],FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,68.77903008,0.86216,0.7125,0.1834,0.1384,0.1216,0.1049
"[['Gaussian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,69.67009854,0.84608,0.7161,0.2827,0.1567,0.1311,0.1184
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,82.15532947,0.70016,0.6638,0.4324,0.2742,0.2021,0.1686
"[[['Gaussian', 0.05], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,84.13370347,0.7983,0.6753,0.411,0.2238,0.1717,0.1528
"[['Gaussian', 0.1]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,70.88545036,0.81078,0.6856,0.3816,0.2063,0.1654,0.1498
"[[['Gaussian', 0.1], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,82.15456605,0.66902,0.6311,0.4671,0.312,0.2303,0.1887
"[[['Gaussian', 0.1], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,84.23001719,0.77862,0.6657,0.4436,0.2558,0.1806,0.1625
"[['Laplacian', 0.05]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,123.6964333,0.82224,0.6895,0.3076,0.1761,0.1448,0.133
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,129.1280673,0.67584,0.633,0.4263,0.2978,0.2132,0.1694
"[[['Laplacian', 0.05], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,145.4854851,0.79406,0.6741,0.4326,0.232,0.1714,0.1533
"[['Laplacian', 0.1]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,133.8125651,0.79252,0.676,0.4206,0.2265,0.1688,0.1501
"[[['Laplacian', 0.1], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,139.7935615,0.64422,0.6078,0.4964,0.3348,0.2518,0.214
"[[['Laplacian', 0.1], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,141.6489663,0.76076,0.6589,0.485,0.288,0.2031,0.169
"[['Lp-norm', 0.25, 1]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,79.13148141,0.8773,0.727,0.1906,0.1358,0.1194,0.1057
"[[['Lp-norm', 0.25, 1], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.11421609,0.7023,0.6923,0.3789,0.2656,0.1914,0.1629
"[[['Lp-norm', 0.25, 1], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.48983502,0.80248,0.6797,0.3918,0.2047,0.1628,0.1475
"[['Lp-norm', 0.5, 1]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,80.53210878,0.85444,0.7167,0.1931,0.1374,0.1225,0.1085
"[[['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,92.39860773,0.69966,0.6571,0.3773,0.2385,0.1852,0.159
"[[['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,93.97578025,0.79094,0.6669,0.3955,0.2163,0.1639,0.153
"[['Lp-norm', 0.25, 2]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,79.54450011,0.8721,0.7328,0.1701,0.1226,0.1088,0.0965
"[[['Lp-norm', 0.25, 2], ['RotationFlip', 0.3]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,92.55488896,0.70822,0.6674,0.3608,0.2388,0.1619,0.1407
"[[['Lp-norm', 0.25, 2], ['SaltPepper', 0.05]]]",FALSE,TRUE,CrossEntropyLoss(),0.0001,0.0001,64,20,94.83505106,0.80366,0.6838,0.3936,0.2074,0.1607,0.1504
