perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 3], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,168.5637159,0.8221,0.703,0.2605,0.1533,0.1326,0.1187
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], ['Lp-norm', 0.25, 11], ['Lp-norm', 0.25, 12], ['Lp-norm', 0.25, 13], ['Lp-norm', 0.25, 14], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,167.9660285,0.80086,0.685,0.2635,0.1646,0.1425,0.1313
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], ['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.5, 3], ['Lp-norm', 0.5, 4], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,168.2624807,0.82748,0.7125,0.2623,0.1586,0.1422,0.1279
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], ['Lp-norm', 0.5, 11], ['Lp-norm', 0.5, 12], ['Lp-norm', 0.5, 13], ['Lp-norm', 0.5, 14], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,168.4883552,0.82224,0.7039,0.2759,0.1598,0.1338,0.1278
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.5]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,191.8865883,0.61348,0.578,0.3365,0.2013,0.1564,0.1374
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.5]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,237.4033828,0.6084,0.5705,0.2816,0.1915,0.1556,0.1335
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.1]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,209.4510417,0.79288,0.6808,0.3274,0.1829,0.1512,0.1409
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.1]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,276.1263442,0.85872,0.6969,0.2732,0.1657,0.1505,0.142
"[[['Gaussian', 0.05], ['RotationFlip', 0.5]], [['Laplacian', 0.05], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.5]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.1]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.1]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,259.0641332,0.74924,0.6653,0.3115,0.186,0.1481,0.1383
