perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
[],True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,59.230708360672,0.87206,0.7304,0.1793,0.1317,0.1172,0.1081
"[['Identity'], ['Identity']]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,59.95062565803528,0.87488,0.7304,0.1764,0.1382,0.1242,0.1127
"[['Identity'], ['Identity'], ['Identity']]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,67.46201491355896,0.88454,0.7293,0.169,0.1302,0.1201,0.1093
"[['RotationFlip', 0.3]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,70.21249675750732,0.70238,0.6587,0.3879,0.2431,0.1896,0.1478
"[['SaltPepper', 0.05]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,72.56822204589844,0.80262,0.6796,0.3915,0.201,0.161,0.1475
"[[['RotationFlip', 0.3], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,82.84572124481201,0.64614,0.6142,0.4702,0.3181,0.2483,0.2174
"[['RotationFlip', 0.3], ['SaltPepper', 0.05]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,92.04742431640625,0.70182,0.6568,0.4244,0.2661,0.2045,0.1771
"[['Lp-norm', 0.05, 1], ['Lp-norm', 0.05, 2], ['Lp-norm', 0.05, 3], ['Lp-norm', 0.05, 4], ['Lp-norm', 0.05, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,79.40236783027649,0.88296,0.7394,0.1739,0.136,0.1239,0.1155
"[['Lp-norm', 0.05, 11], ['Lp-norm', 0.05, 12], ['Lp-norm', 0.05, 13], ['Lp-norm', 0.05, 14], ['Lp-norm', 0.05, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,76.59738492965698,0.87712,0.7256,0.185,0.1441,0.1306,0.1201
"[['Lp-norm', 0.1, 1], ['Lp-norm', 0.1, 2], ['Lp-norm', 0.1, 3], ['Lp-norm', 0.1, 4], ['Lp-norm', 0.1, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,76.23405981063843,0.89896,0.7342,0.1765,0.1356,0.1252,0.1173
"[['Lp-norm', 0.1, 11], ['Lp-norm', 0.1, 12], ['Lp-norm', 0.1, 13], ['Lp-norm', 0.1, 14], ['Lp-norm', 0.1, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,77.56748700141907,0.86928,0.72,0.1861,0.1386,0.1248,0.1165
"[[['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,103.27079343795776,0.71056,0.6561,0.3596,0.2058,0.1749,0.1511
"[[['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,143.59604334831238,0.73248,0.6697,0.2775,0.1667,0.1357,0.1273
